,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
0,Flat,10000000,G-10,Islamabad,Islamabad Capital,33.67989,73.01264,2,For Sale,2,2019-02-04,Self,Self,4.0
1,Flat,6900000,E-11,Islamabad,Islamabad Capital,33.700993,72.971492,3,For Sale,3,2019-05-04,Self,Self,5.6
2,House,16500000,G-15,Islamabad,Islamabad Capital,33.631485999999995,72.926559,6,For Sale,5,2019-07-17,Self,Self,8.0
3,House,43500000,Bani Gala,Islamabad,Islamabad Capital,33.707572937012,73.15119934082,4,For Sale,4,2019-04-05,Self,Self,40.0
4,House,7000000,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,For Sale,3,2019-07-10,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,8.0
5,House,34500000,Ghauri Town,Islamabad,Islamabad Capital,33.623946999999994,73.126588,8,For Sale,8,2019-04-05,Self,Self,32.0
6,House,27000000,Korang Town,Islamabad,Islamabad Capital,33.579034,73.13959100000001,8,For Sale,8,2019-01-04,Self,Self,20.0
7,Flat,7800000,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,2,For Sale,2,2019-05-05,Ettemad Enterprises,Balqiaz Marwat,6.2
8,House,50000000,DHA Defence,Islamabad,Islamabad Capital,33.540894,73.095732,7,For Sale,7,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,20.0
9,Penthouse,40000000,F-11,Islamabad,Islamabad Capital,33.679210999999995,72.988787,5,For Sale,5,2019-06-27,Crown Associate,Abrar Ahmed,20.0
10,Flat,35000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,3,For Sale,3,2019-06-03,Al Sahar Estate,Zahid H. Usmani,7.1
11,Flat,48000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,For Sale,2,2019-02-04,Al Sahar Estate,Zahid H. Usmani,7.8
12,House,400000000,F-6,Islamabad,Islamabad Capital,33.731531596441,73.065696358681,0,For Sale,0,2019-07-04,Self,Self,90.0
13,Flat,13500000,DHA Defence,Islamabad,Islamabad Capital,33.538087,73.164536,5,For Sale,3,2019-06-04,Self,Self,10.0
14,Flat,3600000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,1,For Sale,1,2019-07-03,Ettemad Enterprises,Ettemad,3.1
15,Flat,5000000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,2,For Sale,2,2019-05-05,Ettemad Enterprises,Ettemad,4.0
16,House,19000000,DHA Defence,Islamabad,Islamabad Capital,33.508481,73.091826,3,For Sale,3,2019-06-20,Infinity Properties,Ali,10.0
17,House,80000000,DHA Defence,Islamabad,Islamabad Capital,33.541728000000006,73.094103,7,For Sale,7,2019-07-16,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,40.0
18,House,26900000,B-17,Islamabad,Islamabad Capital,33.694495,72.82665300000001,6,For Sale,6,2019-02-04,Self,Self,20.0
19,Flat,1750000,PWD Housing Scheme,Islamabad,Islamabad Capital,33.570792,73.145256,0,For Sale,0,2019-06-13,Paris Real Estate & Builders,Chaudhary Naveed,1.5
20,House,55000000,G-11,Islamabad,Islamabad Capital,33.671640000000004,72.99165500000001,7,For Sale,6,2019-07-17,Self,Self,14.0
21,House,4500000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,3,For Sale,3,2019-02-04,Self,Self,5.0
22,Farm House,88500000,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268000000001,3,For Sale,3,2019-03-06,Self,Self,120.0
23,Flat,47000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,For Sale,3,2019-05-05,Al Sahar Estate,Zahid H. Usmani,8.4
24,House,4500000,Garden Town,Islamabad,Islamabad Capital,33.636132,73.11392099999999,4,For Sale,4,2019-01-05,Self,Self,4.7
25,House,6800000,Koral Town,Islamabad,Islamabad Capital,33.602038,73.141966,4,For Sale,4,2019-07-17,Self,Self,4.0
26,House,20000000,Soan Garden,Islamabad,Islamabad Capital,33.569648,73.151522,5,For Sale,6,2019-06-29,Self,Self,12.0
27,Flat,19400000,Blue Area,Islamabad,Islamabad Capital,33.713845,73.06097,1,For Sale,1,2019-06-27,Crown Associate,Abrar Ahmed,4.3
28,House,100000000,F-6,Islamabad,Islamabad Capital,33.72402,73.074524,5,For Sale,5,2019-01-05,Property Syendicate,Rizwan Shafqat,17.8
29,Flat,8000000,G-11,Islamabad,Islamabad Capital,33.675604,73.000367,2,For Sale,2,2019-05-05,Ettemad Enterprises,Balqiaz Marwat,6.7
30,Flat,6300000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,3,For Sale,3,2019-05-05,Ettemad Enterprises,Ettemad,5.3
31,House,220000000,F-7,Islamabad,Islamabad Capital,33.716274,73.05624,10,For Sale,10,2019-01-05,Property Syendicate,Rizwan Shafqat,42.0
32,House,4500000,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,3,For Sale,2,2018-11-06,Self,Self,5.0
33,House,12500000,I-16,Islamabad,Islamabad Capital,33.594496,72.92659499999999,5,For Sale,6,2019-07-04,Self,Self,8.0
34,House,230000000,E-7,Islamabad,Islamabad Capital,33.727409,73.04758100000001,4,For Sale,4,2019-06-12,Zorje Pvt Ltd,Obaid Abbasi,50.0
35,House,110000,DHA Defence,Islamabad,Islamabad Capital,33.542039,73.093414,5,For Rent,5,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,20.0
36,House,600000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,6,For Rent,6,2018-10-20,Nexus Estate Services,Ch Afzal/ Ch Faisal/ Ch Adeel,40.0
37,Lower Portion,33000,G-15,Islamabad,Islamabad Capital,33.633416,72.91821999999999,2,For Rent,2,2018-10-20,Self,Self,8.0
38,House,45000,Pakistan Town,Islamabad,Islamabad Capital,33.575405,73.143325,5,For Rent,3,2019-07-11,Self,Self,24.0
39,Upper Portion,12000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,2,For Rent,2,2019-02-04,Self,Self,5.0
40,House,175000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,4,For Rent,4,2019-06-04,Self,Self,13.3
41,Lower Portion,17000,Islamabad Expressway,Islamabad,Islamabad Capital,33.632166,73.11150699999999,2,For Rent,2,2019-02-04,Self,Self,5.0
42,House,1022000,F-6,Islamabad,Islamabad Capital,33.731334999999994,73.068473,8,For Rent,8,2019-07-04,Self,Self,40.0
43,House,900000,F-6,Islamabad,Islamabad Capital,33.730907,73.074431,8,For Rent,7,2019-06-20,Zorje Pvt Ltd,Obaid Abbasi,48.0
44,Lower Portion,200000,F-6,Islamabad,Islamabad Capital,33.724018,73.074524,3,For Rent,3,2019-04-05,Property Syendicate,Rizwan Shafqat,16.0
45,House,265000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,7,For Rent,7,2019-05-05,Self,Self,40.0
46,Lower Portion,60000,G-8,Islamabad,Islamabad Capital,33.698065,73.044612,2,For Rent,2,2019-05-05,Self,Self,9.3
47,House,220000000,Model Town,Lahore,Punjab,31.483868658082,74.325685501099,0,For Sale,0,2019-07-17,Real Biz International,Usama Khan,120.0
48,House,40000000,Multan Road,Lahore,Punjab,31.431593,74.17998,5,For Sale,5,2018-10-06,Khan Estate,mohsinkhan and B,20.0
49,House,9500000,Eden,Lahore,Punjab,31.499348,74.41695899999999,0,For Sale,3,2019-07-03,Shahum Estate 2,"Babar Hameed, Raja Omar",9.0
50,House,125000000,Gulberg,Lahore,Punjab,31.522069,74.355512,7,For Sale,8,2019-04-04,Self,Self,20.0
51,House,21000000,Allama Iqbal Town,Lahore,Punjab,31.506483000000003,74.286017,5,For Sale,6,2019-04-04,Self,Self,11.0
52,House,52000000,Gulberg,Lahore,Punjab,31.495909,74.350569,6,For Sale,5,2019-06-02,MATZ Services,Group Captain (R) Tajammul Baig,20.0
53,House,16500000,Military Accounts Housing Society,Lahore,Punjab,31.421229,74.28556,7,For Sale,6,2019-07-03,Self,Self,8.0
54,House,32500000,EME Society,Lahore,Punjab,31.439978000000004,74.209685,0,For Sale,5,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,20.0
55,House,31500000,EME Society,Lahore,Punjab,31.437744,74.21349000000001,0,For Sale,6,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,20.0
56,House,40000000,Izmir Town,Lahore,Punjab,31.409106,74.181662,0,For Sale,6,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,32.0
57,House,13500000,Eden,Lahore,Punjab,31.441113,74.239683,4,For Sale,4,2019-04-04,Self,Self,7.5
58,House,87500000,Upper Mall,Lahore,Punjab,31.542114,74.355898,5,For Sale,4,2019-06-30,Hamza Real Estate,Imran Shahad,24.0
59,House,16500000,Cavalry Ground,Lahore,Punjab,31.500557,74.36773000000001,0,For Sale,4,2019-04-04,Rana Estate,Rana Shahzad,10.0
60,House,18500000,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,0,For Sale,0,2019-07-04,Punjab Associates,Ch. Tariq Ali Ranjha,10.0
61,House,23500000,Askari,Lahore,Punjab,31.537239000000003,74.420211,4,For Sale,4,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
62,House,22500000,Bedian Road,Lahore,Punjab,31.473474,74.429569,4,For Sale,4,2019-04-04,Self,Self,20.0
63,House,50000000,Agrics Town,Lahore,Punjab,31.441625,74.224648,7,For Sale,6,2019-07-10,Self,Self,18.0
64,House,39500000,Gulberg,Lahore,Punjab,31.526312,74.347959,6,For Sale,6,2019-06-11,Self,Self,10.0
65,House,27500000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,2019-06-18,Forces Properties,Khalid Saeed Khan,12.0
66,House,40000000,Chaman Park,Lahore,Punjab,31.567912,74.399192,3,For Sale,6,2019-01-04,Self,Self,11.0
67,House,45000000,Askari,Lahore,Punjab,31.537239000000003,74.420211,6,For Sale,5,2019-06-18,Forces Properties,Khalid Saeed Khan,20.0
68,House,3200000,Chungi Amar Sadhu,Lahore,Punjab,31.450925,74.354287,2,For Sale,3,2018-12-05,Self,Self,3.0
69,House,21200000,Askari,Lahore,Punjab,31.536068,74.408666,4,For Sale,3,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
70,House,23000000,Askari,Lahore,Punjab,31.537458,74.41332299999999,5,For Sale,4,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
71,House,21500000,Askari,Lahore,Punjab,31.53327,74.41358000000001,5,For Sale,4,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
72,House,21500000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
73,House,40000000,Askari,Lahore,Punjab,31.537458,74.41332299999999,6,For Sale,5,2019-06-18,Forces Properties,Khalid Saeed Khan,20.0
74,House,26000000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
75,House,21000000,Askari,Lahore,Punjab,31.537458,74.41332299999999,4,For Sale,4,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
76,House,23000000,Askari,Lahore,Punjab,31.53327,74.41358000000001,5,For Sale,4,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
77,House,23000000,Askari,Lahore,Punjab,31.533161,74.419481,6,For Sale,5,2019-06-18,Forces Properties,Khalid Saeed Khan,10.0
78,House,57500000,EME Society,Lahore,Punjab,31.439978000000004,74.209685,5,For Sale,5,2019-04-03,Punjaab Estates,Irfan Rehman Khan,20.0
79,House,620000000,GOR,Lahore,Punjab,31.543431,74.344225,8,For Sale,8,2019-05-03,Punjaab Estates,Irfan Rehman Khan,130.0
80,House,5500000,Karim Park,Lahore,Punjab,31.590234,74.300365,3,For Sale,3,2019-06-11,Self,Self,2.5
81,House,50000000,Gulberg,Lahore,Punjab,31.53842,74.352357,6,For Sale,5,2019-07-03,Hamza Real Estate,Imran Shahad,20.0
82,House,12000000,Cantt,Lahore,Punjab,31.49858,74.40926999999999,6,For Sale,6,2018-12-05,Self,Self,8.0
83,House,65000000,Valencia Housing Society,Lahore,Punjab,31.40537,74.257078,0,For Sale,0,2019-06-02,Punjaab Estates,Irfan Rehman Khan,40.0
84,House,1250000000,Gulberg,Lahore,Punjab,31.519435,74.345548,0,For Sale,0,2019-02-03,Punjaab Estates,Irfan Rehman Khan,160.0
85,House,42500000,Gulshan-e-Ravi,Lahore,Punjab,31.551184000000003,74.284058,8,For Sale,8,2019-04-04,Self,Self,22.0
86,House,66500000,Valencia Housing Society,Lahore,Punjab,31.400096,74.259682,0,For Sale,0,2019-04-03,Punjaab Estates,Irfan Rehman Khan,40.0
87,House,12000000,Al-Raheem Garden,Lahore,Punjab,31.597234000000004,74.474513,5,For Sale,5,2019-07-03,Self,Self,6.0
88,House,40000000,EME Society,Lahore,Punjab,31.437744,74.21349000000001,7,For Sale,6,2019-04-04,Self,Self,20.0
89,House,180000000,Gulberg,Lahore,Punjab,31.505678000000003,74.348202,7,For Sale,5,2019-07-03,Hamza Real Estate,Imran Shahad,94.0
90,House,17000000,Mateen Avenue,Lahore,Punjab,31.441992,74.291389,6,For Sale,5,2019-03-05,Self,Self,9.7
91,House,47500000,EME Society,Lahore,Punjab,31.434668,74.214005,0,For Sale,0,2019-05-03,Punjaab Estates,Irfan Rehman Khan,20.0
92,House,17000000,Paragon City,Lahore,Punjab,31.530739,74.456184,5,For Sale,5,2019-06-11,Valo Marketing,Nabeel Khalid Ch M Naveed Muhammad Bin Shahid,10.0
93,House,25000000,IEP Engineers Town,Lahore,Punjab,31.402513,74.292798,5,For Sale,4,2019-02-01,Self,Self,18.0
94,House,8500000,Muslim Town,Faisalabad,Punjab,31.470052022249,73.088285923004,5,For Sale,4,2019-07-17,Self,Self,5.0
95,House,25000000,Millat Town,Faisalabad,Punjab,31.490612,73.10647,6,For Sale,5,2019-07-03,Self,Self,24.0
96,House,6000000,Raza Abad,Faisalabad,Punjab,31.42599,73.04821700000001,2,For Sale,4,2019-06-19,Self,Self,2.5
97,House,60000000,Satiana Road,Faisalabad,Punjab,31.372179,73.12559399999999,6,For Sale,6,2019-02-17,Ibraheem Associates,Miss Noor ul Huda,32.0
98,House,13500000,Humak,Rawalpindi,Punjab,33.538462,73.144913,4,For Sale,5,2019-04-05,Self,Self,7.0
99,House,31500000,Westridge,Rawalpindi,Punjab,33.607828999999995,73.021817,10,For Sale,12,2019-07-04,Self,Self,24.0
100,House,23000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,6,For Sale,6,2019-07-17,Self,Self,10.0
101,House,9990000,Gulshan Abad,Rawalpindi,Punjab,33.530556,73.06126400000001,2,For Sale,3,2019-05-05,Self,Self,10.0
102,House,22500000,Media Town,Rawalpindi,Punjab,33.560887,73.125937,5,For Sale,5,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,12.0
103,House,40000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,8,For Sale,6,2019-07-04,Self,Self,20.0
104,House,9000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393000000001,4,For Sale,3,2019-07-04,Self,Self,5.0
105,House,12800000,Chaklala Scheme,Rawalpindi,Punjab,33.656924,73.143826,0,For Sale,0,2018-11-06,Self,Self,7.0
106,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,8,For Sale,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
107,House,23000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555594,73.133669,6,For Sale,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,12.0
108,House,39500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,7,For Sale,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
109,House,21000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,7,For Sale,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,10.0
110,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,5,For Sale,5,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,20.0
111,House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,7,For Sale,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
112,House,37500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,7,For Sale,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
113,Flat,4800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.12381500000001,1,For Sale,1,2019-06-20,Mughal Estate & Builders,Mughal,3.8
114,House,35000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408000000004,73.115473,5,For Sale,5,2019-01-18,Easy Property,Muhammad Junaid CEO  Muhammad Shahid Director,20.0
115,Penthouse,25000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.521053,73.10775600000001,4,For Sale,4,2019-07-16,Easy Property,Muhammad Junaid CEO  Muhammad Shahid Director,10.0
116,Flat,7500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.12381500000001,2,For Sale,2,2019-07-16,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5.5
117,House,12800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.495991,73.100195,4,For Sale,4,2019-07-15,Easy Property,Muhammad Junaid CEO    Muhammad Shahid Director,7.0
118,House,5000000,Chakri Road,Rawalpindi,Punjab,33.563712435267,73.015782125294,5,For Sale,6,2019-07-05,Self,Self,5.0
119,House,22000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,6,For Sale,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,10.0
120,House,38000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,7,For Sale,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
121,House,18000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,4,For Sale,4,2019-03-06,Self,Self,10.0
122,House,25000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,2019-06-27,Self,Self,10.0
123,House,30000000,Askari 12,Rawalpindi,Punjab,33.597588,73.080837,6,For Sale,4,2019-06-04,Self,Self,10.0
124,House,23000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,2019-06-27,Self,Self,10.0
125,House,30000000,Judicial Colony,Rawalpindi,Punjab,33.595729,73.134502,8,For Sale,10,2019-06-13,Musa Enterprises,Adil Yousaf,20.0
126,House,32000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,5,For Sale,5,2019-07-01,Self,Self,22.0
127,House,40000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,8,For Sale,7,2019-06-20,Mughal Estate & Builders,Mughal,30.0
128,House,25000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,6,For Sale,5,2019-06-27,Self,Self,10.0
129,House,6000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.498497,73.101182,2,For Sale,2,2019-07-16,Easy Property,Muhammad Junaid CEO    Muhammad Shahid Director,5.0
130,House,23800000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,0,For Sale,4,2019-06-27,Self,Self,10.0
131,House,28000000,Askari 10,Rawalpindi,Punjab,33.586989,73.077743,5,For Sale,5,2019-06-04,Self,Self,10.0
132,House,5300000,Gulshan-e-Iqbal,Rawalpindi,Punjab,33.551195,73.02615899999999,3,For Sale,2,2019-05-05,Self,Self,5.0
133,House,19900000,Shalley Valley,Rawalpindi,Punjab,33.597548,73.014176,6,For Sale,6,2019-02-04,Self,Self,10.0
134,House,15000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,4,For Sale,3,2019-06-27,Self,Self,5.0
135,House,18000000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,5,For Sale,4,2019-06-13,Self,Self,10.0
136,House,24500000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,5,For Sale,4,2019-06-27,Self,Self,10.0
137,House,27000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,4,For Sale,4,2019-06-27,Self,Self,10.0
138,House,18000000,Askari 13,Rawalpindi,Punjab,33.569523,73.064679,3,For Sale,3,2019-06-27,Self,Self,5.0
139,House,250000,Chen One Road,Faisalabad,Punjab,31.410804,73.106978,3,For Rent,10,2019-03-19,Self,Self,40.0
140,House,200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,8,For Rent,8,2019-01-18,Self,Self,50.0
141,House,125000,Chaklala Scheme,Rawalpindi,Punjab,33.656924,73.143826,5,For Rent,5,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,20.0
142,Upper Portion,33000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,3,For Rent,3,2019-06-21,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,10.0
143,House,110000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408000000004,73.115473,7,For Rent,6,2019-07-03,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
144,House,60000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,6,For Rent,5,2019-07-03,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,10.0
145,Upper Portion,50000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.531951,73.115215,3,For Rent,3,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,20.0
146,House,70000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.531951,73.115215,5,For Rent,5,2019-07-10,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,10.0
147,Flat,22000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.521053,73.10775600000001,2,For Rent,2,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,2.4
148,House,71000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408000000004,73.115473,9,For Rent,9,2019-05-06,Self,Self,10.0
149,Flat,35000,Chandni Chowk,Rawalpindi,Punjab,33.63154,73.07256600000001,2,For Rent,2,2019-02-17,Self,Self,4.0
150,Upper Portion,48000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,4,For Rent,3,2019-06-21,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,20.0
151,Upper Portion,50000,Chaklala Scheme,Rawalpindi,Punjab,33.656924,73.143826,3,For Rent,3,2019-05-06,Self,Self,20.0
152,Flat,30000,Askari 15,Rawalpindi,Punjab,33.530128999999995,73.165253,3,For Rent,3,2019-07-08,Self,Self,4.4
153,Flat,25000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.573152,73.110881,1,For Rent,1,2019-05-06,Self,Self,2.2
154,House,50000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,6,For Rent,5,2018-10-20,Self,Self,10.0
155,House,48000,Askari 14,Rawalpindi,Punjab,33.543004,73.067576,4,For Rent,3,2019-07-03,Self,Self,10.0
156,House,450000000,Cantt,Karachi,Sindh,24.889395,67.09862700000001,7,For Sale,6,2019-06-20,Premier Properties,Aamir Motiwala,80.0
157,House,35000000,Gulistan-e-Jauhar,Karachi,Sindh,24.914987564087,67.138702392578,8,For Sale,6,2019-07-18,Self,Self,16.0
158,Flat,21000000,DHA Defence,Karachi,Sindh,24.814367294312,67.07208251953101,3,For Sale,3,2018-10-20,Self,Self,8.9
159,House,6500000,Malir,Karachi,Sindh,24.882302,67.18467700000001,1,For Sale,2,2019-03-10,Self,Self,3.2
160,House,13000000,Gadap Town,Karachi,Sindh,25.018156,67.066864,4,For Sale,4,2019-07-18,Self,Self,9.6
161,House,32000000,DHA Defence,Karachi,Sindh,24.818309020251004,67.080878019333,4,For Sale,4,2019-06-20,Well Known Properties,Zeeshan Ahmed,4.0
162,House,4000000,Malir,Karachi,Sindh,24.900088134628,67.205798216164,3,For Sale,7,2018-10-20,Self,Self,3.2
163,Flat,16500000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.923492431641,67.08173370361301,4,For Sale,4,2019-06-05,Karachi Real Estate Investment Trust,Feroz,9.8
164,House,110000000,DHA Defence,Karachi,Sindh,24.805045,67.064323,6,For Sale,6,2019-05-06,Universal Estate & Builders,Syed Zakir Ali,20.0
165,House,12800000,Scheme 33,Karachi,Sindh,24.964623,67.16855799999999,6,For Sale,5,2019-06-14,Property Master,M. Tahir,9.6
166,Flat,30000000,Cantt,Karachi,Sindh,24.937425,67.182856,3,For Sale,3,2019-06-14,United Real Estate,G Sarwar Gondal,10.2
167,Flat,34000000,Cantt,Karachi,Sindh,24.937425,67.182856,4,For Sale,3,2019-06-14,United Real Estate,G Sarwar Gondal,11.4
168,Flat,29500000,Cantt,Karachi,Sindh,24.937425,67.182856,0,For Sale,3,2019-06-14,United Real Estate,Ghulam Sarwar Gondal,11.4
169,Flat,30000000,Cantt,Karachi,Sindh,24.937425,67.182856,0,For Sale,3,2019-06-14,United Real Estate,G Sarwar Gondal,11.4
170,Flat,37500000,Cantt,Karachi,Sindh,24.937425,67.182856,0,For Sale,4,2019-06-14,United Real Estate,G Sarwar Gondal,13.1
171,Flat,45000000,Bath Island,Karachi,Sindh,24.83566,67.0286,0,For Sale,3,2019-02-16,Memon Real Estate,Muhammad Aqdas Kamdar,8.9
172,House,17000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.939604,67.09590899999999,5,For Sale,4,2019-03-19,Self,Self,4.8
173,Flat,12500000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.920535,67.08312,3,For Sale,3,2019-06-05,Karachi Real Estate Investment Trust,Feroz,7.6
174,Flat,5000000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.95618,67.115135,0,For Sale,2,2018-11-19,Self,Self,5.4
175,Flat,4100000,Abul Hassan Isphani Road,Karachi,Sindh,24.941817,67.098056,2,For Sale,2,2019-06-07,Self,Self,3.2
176,House,40000000,Nazimabad,Karachi,Sindh,24.906134,67.023983,8,For Sale,11,2019-02-17,Self,Self,13.4
177,Flat,28000000,Cantt,Karachi,Sindh,24.937425,67.182856,3,For Sale,3,2019-06-14,United Real Estate,FahadGhulam Sarwar Gondal,11.4
178,Flat,32500000,Cantt,Karachi,Sindh,24.937425,67.182856,3,For Sale,3,2019-06-14,United Real Estate,Ghulam Sarwar Gondal,11.4
179,Flat,40000000,Cantt,Karachi,Sindh,24.937425,67.182856,4,For Sale,4,2019-06-14,United Real Estate,Ghulam Sarwar Gondal,13.2
180,House,59500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",14.0
181,House,71500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",20.0
182,House,55000000,Malir,Karachi,Sindh,24.956491,67.219341,4,For Sale,4,2019-05-06,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",14.0
183,House,59500000,Malir,Karachi,Sindh,24.956491,67.219341,6,For Sale,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",14.0
184,House,68500000,Malir,Karachi,Sindh,24.956491,67.219341,5,For Sale,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",20.0
