,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
149626,Flat,6100000,Bahria Town Karachi,Karachi,Sindh,25.013015,67.314401,2,For Sale,2,2019-07-12,Estate Tree,Irfan Shabbir,4.0
149627,Upper Portion,120000,Clifton,Karachi,Sindh,24.820432,67.029383,3,For Rent,2,2019-07-13,Estate Vision,Mohammed Saleem,12.0
149628,Lower Portion,25000,Federal B Area,Karachi,Sindh,24.937736,67.080152,0,For Rent,2,2019-07-12,Al Madina Estate Agency,Zeshan,4.8
149629,Upper Portion,25000,Federal B Area,Karachi,Sindh,24.937736,67.080152,0,For Rent,2,2019-07-12,Al Madina Estate Agency,Zeshan,4.8
149630,Upper Portion,23000,Federal B Area,Karachi,Sindh,24.937736,67.080152,0,For Rent,2,2019-07-12,Al Madina Estate Agency,Zeshan,4.8
149631,Lower Portion,25000,Federal B Area,Karachi,Sindh,24.922442,67.073629,0,For Rent,2,2019-07-12,Al Madina Estate Agency,Zeshan,4.8
149632,Flat,16000,Federal B Area,Karachi,Sindh,24.937736,67.080152,0,For Rent,2,2019-07-12,Al Madina Estate Agency,Zeshan,2.9
149633,Lower Portion,130000,DHA Defence,Karachi,Sindh,24.821639,67.071691,4,For Rent,3,2019-07-12,Barket Associates,Saif Ullah Cheema,20.0
149634,Upper Portion,180000,DHA Defence,Karachi,Sindh,24.782215,67.074537,4,For Rent,4,2019-07-12,Askari Associates,Tahir Riaz,40.0
149635,House,220000,DHA Defence,Karachi,Sindh,24.805045,67.064323,7,For Rent,6,2019-07-12,Barket Associates,Saif Ullah Cheema,20.0
149636,Flat,20000,Bahria Town Karachi,Karachi,Sindh,25.020961,67.321172,2,For Rent,2,2019-07-12,Real Investment Consultants,Boez Ayub,4.2
149639,Flat,20000,Bahria Town Karachi,Karachi,Sindh,25.020961,67.321172,2,For Rent,2,2019-07-13,Real Investment Consultants,Boez Ayub,4.2
149640,Flat,21000,Bahria Town Karachi,Karachi,Sindh,25.020961,67.321172,2,For Rent,2,2019-07-13,Real Investment Consultants,Boez Ayub,4.2
149644,Flat,22000,Bahria Town Karachi,Karachi,Sindh,25.020961,67.321172,2,For Rent,2,2019-07-12,Real Investment Consultants,Boez Ayub,4.2
149648,Flat,23000,Bahria Town Karachi,Karachi,Sindh,25.020961,67.321172,2,For Rent,2,2019-07-12,Real Investment Consultants,Boez Ayub,4.2
149652,Flat,24000,Bahria Town Karachi,Karachi,Sindh,25.020961,67.321172,2,For Rent,2,2019-07-12,Real Investment Consultants,Boez Ayub,4.2
149656,Flat,25000,Bahria Town Karachi,Karachi,Sindh,25.020961,67.321172,2,For Rent,2,2019-07-12,Real Investment Consultants,Boez Ayub,4.2
149660,House,200000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.919484,67.089765,0,For Rent,0,2019-07-12,A. G Danawal Associates,Azeem Danawala,16.0
149661,House,170000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.91567,67.083628,0,For Rent,8,2019-07-12,A. G Danawal Associates,Azeem Danawala,24.0
149662,Lower Portion,80000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.91567,67.083628,0,For Rent,4,2019-07-12,A. G Danawal Associates,Azeem Danawala,24.0
149663,Lower Portion,50000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.919484,67.089765,0,For Rent,3,2019-07-12,A. G Danawal Associates,Azeem Danawala,9.6
149664,Upper Portion,50000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.911726,67.098014,0,For Rent,3,2019-07-12,A. G Danawal Associates,Azeem Danawala,9.6
149665,Upper Portion,53000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.919484,67.089765,0,For Rent,3,2019-07-12,A. G Danawal Associates,Azeem Danawala,8.4
149666,Lower Portion,75000,DHA Defence,Karachi,Sindh,24.821639,67.071691,4,For Rent,3,2019-07-12,Barket Associates,Saif Ullah Cheema,8.0
149667,Flat,30000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Rent,2,2019-07-12,A H Associates,"Qaseem, Hannan",4.9
149668,Upper Portion,35000,Federal B Area,Karachi,Sindh,24.929992,67.054489,2,For Rent,3,2019-07-12,A H Associates,"Qaseem, Hannan",4.8
149669,Flat,35000,North Nazimabad,Karachi,Sindh,24.941744,67.053638,2,For Rent,2,2019-07-12,A H Associates,"Qaseem, Hannan",4.9
149670,Flat,37000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Rent,2,2019-07-12,A H Associates,Qaseem,4.4
149671,Flat,37000,North Nazimabad,Karachi,Sindh,24.941744,67.053638,0,For Rent,2,2019-07-12,A H Associates,Qaseem,4.4
149672,Flat,37000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Rent,2,2019-07-12,A H Associates,Qaseem,4.7
149674,Upper Portion,75000,DHA Defence,Karachi,Sindh,24.824093,67.06140500000001,3,For Rent,2,2019-07-12,Barket Associates,Saif Ullah Cheema,8.0
149675,Upper Portion,32000,Federal B Area,Karachi,Sindh,24.918394,67.066677,0,For Rent,0,2019-07-12,Salman Real Estate,Asif / Farhan,4.8
149676,Lower Portion,30000,Federal B Area,Karachi,Sindh,24.918394,67.066677,0,For Rent,0,2019-07-12,Salman Real Estate,Asif / Farhan,4.8
149677,Lower Portion,18000,Federal B Area,Karachi,Sindh,24.918394,67.066677,0,For Rent,0,2019-07-12,Salman Real Estate,Asif / Farhan,2.4
149678,Flat,25000,Bahria Town Karachi,Karachi,Sindh,25.067079,67.309986,3,For Rent,3,2019-07-12,Haroon's Estate & Builders,Haroons Estate and Builders,5.0
149679,House,400000,DHA Defence,Karachi,Sindh,24.810265,67.043552,5,For Rent,6,2019-07-12,Infinity Properties,Shehzad,20.0
149680,House,300000,DHA Defence,Karachi,Sindh,24.797574963255,67.062878943968,7,For Rent,6,2019-07-12,Fair Deal Associates,Shoaib Ahmed,20.0
149681,House,20000000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,4.8
